acceleration_z (Std),speed (Std),speed (Skew),bearing (Std),second (Max),car_model,label
1.096421218,7.010870071,0.151116163,128.9770141,1589,Mercedes-Benz,0
2.818097045,1.916798902,0.550355196,118.8914506,809,Mercedes-Benz,1
1.186513005,9.029713492,-0.68399924,70.58013346,1407,Mercedes-Benz,0
0.990569109,7.964311831,0.802410007,91.79589607,869,Mercedes-Benz,0
1.018548695,4.972506499,0.365089267,33.26505863,128,Mercedes-Benz,0
1.350136448,8.319684505,0.458500355,130.4332812,1109,Mercedes-Benz,0
1.068826708,9.473538859,0.513529181,103.602147,1034,Mercedes-Benz,0
0.878657907,4.015075591,-0.190644801,129.7515331,119,Mercedes-Benz,0
0.834115418,6.448510316,0.382274419,42.91561681,627,Mercedes-Benz,0
1.400264531,3.475762584,0.682674944,120.107963,269,Mercedes-Benz,0
1.419992135,5.004018576,0.103331834,71.97513947,757,Mercedes-Benz,0
0.647269488,3.657219853,0.64981389,116.0162861,389,Mercedes-Benz,0
0.988155992,4.800864713,0.52371192,46.39130839,476,Mercedes-Benz,0
0.77816087,5.26151965,0.72632283,112.4041468,474,Mercedes-Benz,0
1.969721302,10.34494998,0.467438847,95.02007751,1123,Mercedes-Benz,0
0.830447032,4.095875821,1.292132258,121.136526,553,Mercedes-Benz,0
0.679716388,10.47880653,-0.032295279,107.5116798,1031,Mercedes-Benz,0
0.950327555,5.5777173,0.716206729,86.07004061,1433,Mercedes-Benz,0
0.848095105,7.075979268,0.876062691,113.2753117,1557,Mercedes-Benz,1
0.835646525,8.179408569,-0.209413812,130.6229973,1781,Mercedes-Benz,1
0.738867124,7.810919015,-0.209810331,99.25253047,704,Mercedes-Benz,0
0.899008363,7.747380672,-0.162986889,96.7346131,567,Mercedes-Benz,0
0.909015525,7.429830314,0.32138592,121.7156188,1109,Mercedes-Benz,0
0.759961789,7.226066233,0.048083387,99.58649211,689,Mercedes-Benz,0
0.905515692,6.413468285,0.679611087,134.3654916,734,Mercedes-Benz,0
1.2715361,5.519300654,0.440935701,96.76075052,803,Mercedes-Benz,1
0.694661257,8.298315523,-0.453336179,62.5452467,1508,Mercedes-Benz,0
0.846175452,8.950371249,0.202869222,81.76531944,1739,Mercedes-Benz,1
0.94695521,3.716762628,0.958982944,97.92819753,328,Mercedes-Benz,0
0.93843398,5.393786236,0.194153562,86.75700157,584,Mercedes-Benz,0
0.865297697,6.688299213,-0.210098177,88.08137544,464,Mercedes-Benz,0
1.210328104,6.183056462,0.862730145,67.08739866,1694,Mercedes-Benz,0
1.013736108,6.411600956,0.337622613,108.3310779,974,Mercedes-Benz,0
1.433867502,7.174492244,0.309842139,106.2802745,433,Mercedes-Benz,0
0.941458815,9.728555971,-0.158378869,124.8781255,1183,Mercedes-Benz,0
0.893467113,5.066179067,-1.499732494,79.63679451,1214,Mercedes-Benz,0
0.746161186,5.893000479,-0.433280736,66.95418043,896,Mercedes-Benz,0
1.029013585,4.61738777,0.544338882,94.99917675,837,Mercedes-Benz,0
0.654048672,5.592945293,0.641725719,23.65181839,537,Mercedes-Benz,0
